;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
186;;;Do ſp̃ch diͮ vroͮwe diſ iſt got;;1,0;1,0;1,0;1,0;1,0;1,0
187;;;Dem ich iem͛ dienen wil;;1,0;1,0;1,0;1,0;1,0;1,0
188;;;vnʒ an mines libes ʒil;;1,0;1,0;1,0;1,0;1,0;1,0
189;;;Swc ich im gedienen kan;;1,0;1,0;1,0;1,0;1,0;1,0
190;;;Do dis div maiſterſchaft u͛nam;;1,0;1,0;1,0;1,0;1,0;1,0
191;;;Do lobten ſuͥ der vroͮwen muͦt;;1,0;1,0;1,0;1,0;1,0;1,0
192;;;Vnd ſprachent dc ſi duhte guͦt;;1,0;1,0;1,0;1,0;1,0;1,0
193;;;Sit ſi niht mannes wolte han;;1,0;1,0;1,0;1,0;1,0;1,0
194;;;So ſolte ſi doch niht enlan;;1,0;1,0;1,0;1,0;1,0;1,0
195;;;Si naͤme ir ainen phlegaͤre;;1,0;1,0;1,0;1,0;1,0;1,0
196;;;Von dem ſi beraten waͤre;;1,0;1,0;1,0;1,0;1,0;1,0
197;;;Gemaches vnde lipnar;;1,0;1,0;1,0;1,0;1,0;1,0
198;;;Diſ rietent ſi ir alle gar;;1,0;1,0;1,0;1,0;1,0;1,0
199;;;Vnd iahen des mit ſtaͤte;;1,0;1,0;1,0;1,0;1,0;1,0
200;;;Ob diſ div vroͮwe taͤte;;1,0;1,0;1,0;1,0;1,0;1,0
201;;;Si moͤhte gotte dienen deſte bas;;1,0;1,0;1,0;1,0;1,0;1,0
202;;;Do lopte in div maget das;;1,0;1,0;1,0;1,0;1,0;1,0
203;;;Das ſi in gehorſam waͤre;;1,0;1,0;1,0;1,0;1,0;1,0
204;;;Vmb ainen phlegaͤre;;1,0;1,0;1,0;1,0;1,0;1,0
205;;;Des warent ſi alle ſament vro;;1,0;1,0;1,0;1,0;1,0;1,0
206;;;Ʒehant beſament ſuͥ do;;1,0;1,0;1,0;1,0;1,0;1,0
207;;;Die iuden alle geliche;;1,0;1,0;1,0;1,0;1,0;1,0
208;;;Arm vnd riche;;1,0;1,0;1,0;1,0;1,0;1,0
209;;;Dc ſi ʒe hoͮue kamen;;1,0;1,0;1,0;1,0;1,0;1,0
210;;;Vnd ir maiſterſchaft u͛naͤmen;;1,0;1,0;1,0;1,0;1,0;1,0
211;;;Des warent ſi gehorſam;;1,0;1,0;1,0;1,0;1,0;1,0
212;;;Sw͛ diſe botſchaft uernam;;1,0;1,0;1,0;1,0;1,0;1,0
213;;;Die kament hin ʒe dem tempel gar;;1,0;1,0;1,0;1,0;1,0;1,0
214;;;Do ſi geſamenot wrdent dar;;1,0;1,0;1,0;1,0;1,0;1,0
215;;;Do nam ſi michel wnder;;1,0;1,0;1,0;1,0;1,0;1,0
216;;;Alle beſunder;;1,0;1,0;1,0;1,0;1,0;1,0
217;;;Durch wc ſi waͤrent dar beſant;;1,0;1,0;1,0;1,0;1,0;1,0
218;;;Do wart in ʒehant;;1,0;1,0;1,0;1,0;1,0;1,0
219;;;Harte ſchiere geſaget;;1,0;1,0;1,0;1,0;1,0;1,0
220;;;Daſ maria div ſchoͤne maget;;1,0;1,0;1,0;1,0;1,0;1,0
221;;;Sich het offenlichen uf getan;;1,0;1,0;1,0;1,0;1,0;1,0
222;;;Daſ ſi varn woͤlte lan;;1,0;1,0;1,0;1,0;1,0;1,0
223;;;Alle man durch gottes ere;;1,0;1,0;1,0;1,0;1,0;1,0
224;;;Vnd wolte oͮch iemermere;;1,0;1,0;1,0;1,0;1,0;1,0
225;;;Gegen dirre welte weſen arn;;1,0;1,0;1,0;1,0;1,0;1,0
226;;;Nu woltont ſuͥ mit leſſe erwarn;;1,0;1,0;1,0;1,0;1,0;1,0
227;;;wer alſo ſaͤlic waͤre;;1,0;1,0;1,0;1,0;1,0;1,0
228;;;Das er ir phlegaͤre;;1,0;1,0;1,0;1,0;1,0;1,0
229;;;Vnd ir manʒoge ſoͤlte ſin;;1,0;1,0;1,0;1,0;1,0;1,0
230;;;Diſ lopte al die menggin;;1,0;1,0;1,0;1,0;1,0;1,0
231;;;nuͥt lang͛ ſi enbaiten;;1,0;1,0;1,0;1,0;1,0;1,0
232;;;Ain los ſi dar beraiten;;1,0;1,0;1,0;1,0;1,0;1,0
233;;;vnd wrfens nach ir gewonhait;;1,0;1,0;1,0;1,0;1,0;1,0
234;;;Do ſtuͦnt alſ vͥns dis buͦch ſait;;1,0;1,0;1,0;1,0;1,0;1,0
235;;;Ain alt man da nahe bi;;1,0;1,0;1,0;1,0;1,0;1,0
236;;;Vil gar vor allem walſche vri;;1,0;1,0;1,0;1,0;1,0;1,0
237;;;Der wc Ioſeph genant;;1,0;1,0;1,0;1,0;1,0;1,0
238;;;Den traf dis loʒ ie da ʒehant;;1,0;1,0;1,0;1,0;1,0;1,0
239;;;Das eſ div mengi alle ſach;;1,0;1,0;1,0;1,0;1,0;1,0
240;;;Mit ainer gerte dc geſchach;;1,0;1,0;1,0;1,0;1,0;1,0
241;;;Div bluͦte in ſinen henden;;1,0;1,0;1,0;1,0;1,0;1,0
242;;;Da bi die luͥt erkanden;;1,0;1,0;1,0;1,0;1,0;1,0
243;;;Dc im got Gunnen wolte;;1,0;1,0;1,0;1,0;1,0;1,0
244;;;Dc er ſi bewarn ſolte;;1,0;1,0;1,0;1,0;1,0;1,0
245;;;Des wc er inneclichen vro;;1,0;1,0;1,0;1,0;1,0;1,0
246;;;Vnd und͛want ſich der megde do;;1,0;1,0;1,0;1,0;1,0;1,0
247;ſwer des irre var;Daz verſwige ih hie durch eine liſt;;daz verſwige ich dvrh den liſt;0,77;1,0;0,77;1,0;0,29;1,0
248;der nem ſein an dem erſten getihte war;want ez vor mir getihtet iſt;;wand ez vor mir getihtet iſt;0,63;1,0;0,63;1,0;0,04;1,0
249;ich velſchot min chunſt daran;Ich velſchet miͤne chvnſt dar an;;Ich velſchete mine chvnſt dar an;0,19;1,0;0,19;1,0;0,06;1,0
250;ſwelich materi an ander man;ſwelh materie ein ander man;;ſwelhe materie ein ander man;0,19;1,0;0,21;1,0;0,04;1,0
251;der werlde hiet gemachet chunt;Den livten hat gemachet chvnt;;der werlde het gemachet chvnt;0,37;1,0;0,07;1,0;0,31;1,0
252;wolt ich die tihten and͛ ſtunt;wold ih die tihten ander ſtvnt;;wold ich di tihten anderſtvnt;0,17;1,0;0,17;1,0;0,1;1,0
253;vn̄ wer auch ʒelenge;Vnt wer ouch zelenge;;daz wære ovh gar ze lenge;0,2;1,0;0,56;1,0;0,48;1,0
254;da von ich eʒ an venge;ein buͤch heizzet daz anegenge;;ein bvͦch heizzet daz anegenge;0,63;1,0;0,6;1,0;0,07;1,0
255;hie an ainer ſtat;Swer des mæres irre gat;;ſwer diſes mære irre gat;0,7;1,0;0,71;1,0;0,17;1,0
256;des er vor niht geſchriben hat;d͛ ſuͤch iz dar an wand ez da ſtat;;der ſvchez dran wand ez da ſtat;0,79;1,0;0,74;1,0;0,24;1,0
257;;Do ditz alſo was chomen;;Do diz alſo was chomen;1,0;1,0;1,0;1,0;0,04;1,0
258;;als ir diche habt v͛nomen;;alſ ir e habt vernomen;1,0;1,0;1,0;1,0;0,28;1,0
259;;Daz ioſep der guͦte man;do Ioſeph der guͦte man;daz Ioſeph der gvͦte man;1,0;1,0;1,0;0,22;0,17;0,12
260;;vnſer froͮwen gewan;vͥnſer vroͮwen gewan;vnſer frowen gewan;1,0;1,0;1,0;0,1;0,05;0,15
261;;Mit lozze alſ div ſchrift ſaget;Mit loſſe alſ vͥns diſ buͦch ſait;mit loze alſ vns div ſchrift ſagt;1,0;1,0;1,0;0,48;0,21;0,39
262;;da nam der alte die maget;Do nam der alte die maͥt;do nam der alte di magt;1,0;1,0;1,0;0,16;0,12;0,12
263;;Mit rede erz doch alſo beſchiet;Mit rede er irſ do underſchiet;mit rede erz doch alſo beſchiet;1,0;1,0;1,0;0,39;0,03;0,42
264;;als im ſiͤn wiſheit geriet;Alſ im ſin wiſhait geriet;alſ im ſin wiſheit geriet;1,0;1,0;1,0;0,15;0,08;0,08
265;;Ich han einen alten liͤp;Er ſp̃ch ir h͛ren ich han ainē altē lip;Ich han einen alten lip;1,0;1,0;1,0;0,56;0,04;0,54
266;;ſo iſt diſiv froͤwe ein ivngez wiͤp;So iſt diſiͮ vroͮwe ain iunc wip;ſo iſt diſiv frowe ein ivnch wip;1,0;1,0;1,0;0,29;0,14;0,22
267;;Vnt enbin ir niht ze mazze;Vn̄ iſt mir nuͥt ʒe maſſe;vnde bin ir niht ze maze;1,0;1,0;1,0;0,46;0,19;0,48
268;;vil gerne ih ſie erlazze;Vil gerne ich ſi erlaſſe;vil gerne ich ſie erlazze;1,0;1,0;1,0;0,21;0,04;0,16
269;;Des daz da heizzet bi gelegen;Des man da haiſſet bi gelegen;daz da heizet bi gelegen;1,0;1,0;1,0;0,17;0,17;0,31
270;;wil aber ſi ir zvchte phlegen;Ob ſi wil ir ʒuͥhte pflegen;ob ſie wilir zvͤhte pflegen;1,0;1,0;1,0;0,45;0,34;0,22
271;;So daz ſi chivſche beliͤbe;Vnd ſi kvͥnsche belibe;ſo daz ſi chivſche belibe;1,0;1,0;1,0;0,42;0,08;0,4
272;;ſwaz ein man ſiͤnem wiͤbe;Swc an man ſinem wibe;ſwaz ein man ſinem wibe;1,0;1,0;1,0;0,28;0,08;0,22
273;;Ander triwen leiſten ſol;And͛ trͥuwe laiſten ſol;anderr triwe leiſten ſol;1,0;1,0;1,0;0,25;0,12;0,29
274;;daz tvͦn ih g͛ne vn̄ wol;Dc tuͦn ich g͛ne vnde wol;daz tvͦn ich gerne vnde wol;1,0;1,0;1,0;0,28;0,19;0,22
275;;Ob aber ir muͦt alſo ſtat;;Ob aber ir mvͦt alſo beſtat;1,0;1,0;1,0;1,0;0,11;1,0
276;;daz ſi elicher hirat;;daz ſi elicher hẏrat;1,0;1,0;1,0;1,0;0,05;1,0
277;;Doch niht entweſen wil;;dvrch got niht entweſen wil;1,0;1,0;1,0;1,0;0,26;1,0
278;;ſo teil ih ir ein ander ſpil;;ſo teile ich ir ein ander ſpil;1,0;1,0;1,0;1,0;0,07;1,0
279;;Ich han zwene ivnge man;;Ich han zwene ivnge man;1,0;1,0;1,0;1,0;0,0;1,0
280;;biderbe vn̄ wolgetan;;biderbe vnd wolgetan;1,0;1,0;1,0;1,0;0,05;1,0
281;;Div ſint bediv miͤne chint;;di ſint beide miniv kint;1,0;1,0;1,0;1,0;0,38;1,0
282;;vnt waiz wol daz ſi edel ſint;;vnd weiz wol daz ſi edel ſint;1,0;1,0;1,0;1,0;0,07;1,0
283;;Der neme ſi ir einen;;der nem ſie ir den einen;1,0;1,0;1,0;1,0;0,29;1,0
284;;dannoch wil ih ir beſcheiden;;ſo wil ich ir aber beſcheiden;1,0;1,0;1,0;1,0;0,41;1,0
285;;Der triwen d͛ ih ir ſchuldich pin;Alſ ich ir des ſchuldic bin;der triwe der ich ir ſchvldech bin;1,0;1,0;1,0;0,52;0,24;0,53
286;;alſo fvͦrt er ſi hin;Sus fuͦrte er vͥnſ͛ vroͮwen hin;Svs fvrter vnſer frowen hin;1,0;1,0;1,0;0,58;0,59;0,32
287;;Inſiͤn hous ze nazaret;In ſin hus ʒe naſereth;in ſin hvs ze Nazareht;1,0;1,0;1,0;0,32;0,32;0,36
288;;da div ſtat noch hivte leit;Da div ſtat noch huͥte ſtat;da div ſtat noch hivte ſtet;1,0;1,0;1,0;0,22;0,11;0,15
289;;Uſer froͮwe bat ir do;vͥnſer vroͮwe bat ir do;Div edel magt bat ir do;1,0;1,0;1,0;0,17;0,52;0,52
290;;drie magde vz dem templo;Drige maͤgde vō dem templo;dri meide vͦze dem templo;1,0;1,0;1,0;0,19;0,2;0,33
291;;Chivſche vn̄ guͦte;Schoͤne kͥvnſche rain vnd guͦt;reine chivſſe vnde gvͦte;1,0;1,0;1,0;0,57;0,5;0,63
292;;ze vrchvnde vn̄ zehuͦte;Durch werch vn̄ durch huͦte;ze vrchvͤnde vnt ze hvͦte;1,0;1,0;1,0;0,59;0,16;0,63
293;;Hin haim lazzen mit ir;Dar hain laʒen mit mir;hin heim lazzen mit ir I;1,0;1,0;1,0;0,32;0,17;0,42
294;;ioſep ſprach die bevelhet mir;Der alte ſprach die bewelhent mir;oſeph ſprach di bevelht ir mir;1,0;1,0;1,0;0,3;0,23;0,42
295;;Ich wil ſi wol beraten;Die ſol ich wol baraiten;di wil ich wol beraten;1,0;1,0;1,0;0,42;0,27;0,25
296;;die herren daz g͛ne taten;Die herren das g͛ne taten;di herren daz gerne taten;1,0;1,0;1,0;0,08;0,12;0,2
297;;Alſus fvr daz geſinde hæim;Sus fuͦrt er dis geſinde hain;Svs fvͦr daz geſinde hein;1,0;1,0;1,0;0,45;0,27;0,31
298;;des alten triwe da wol ſchain;Des alten tugende vil wol ſchain;deſ alten triwe vil wol ſchein;1,0;1,0;1,0;0,28;0,17;0,25
299;;Daz er ir nah ir willen phlach;Wan er ir nach ir willen phlag;wand er ir nach ir willen pflach;1,0;1,0;1,0;0,17;0,16;0,16
300;;do ſi g͛ne an in lach;Do ſi g͛ne ſund͛ lag;do ſi gerne ane in lach;1,0;1,0;1,0;0,38;0,13;0,48
301;;Daz vertrug er gar an neit;Dis lie der h͛re ane nit;daz liez der herre ann nit;1,0;1,0;1,0;0,58;0,58;0,27
302;;dar nah vber vnlange zeit;Dar nach in unlang͛ ʒit;Dar nach vͤber vnlange zit;1,0;1,0;1,0;0,4;0,15;0,31
303;;Chom von ein͛ froͤmden ſtat;Kam dar von ain͛ froͤmden ſtat;chom von einer vremden ſtat;1,0;1,0;1,0;0,27;0,22;0,43
304;;ein man der ioſeben bat;Ain man der Ioſephen bat;ein man der Ioſeben bat;1,0;1,0;1,0;0,17;0,04;0,12
305;;Daz er siͤn guͦt næme;Das er ſin guͦt dar umbe naͤme;daz er ſin gvͦt næme;1,0;1,0;1,0;0,47;0,19;0,47
306;;vnt mit im heim quæme;vnd mit im ʒe huſe kame;vnde mit im heim qvæme;1,0;1,0;1,0;0,43;0,14;0,43
307;;Wan er chvnde einen liſt;wan er kunde ainen liſt;wand er chvnde einen liſt;1,0;1,0;1,0;0,21;0,08;0,2
308;;der harte guͦt zehelfen iſt;Der guͦt ʒe den ſchiffen iſt;der harte gvͦt ze ſhiffen iſt;1,0;1,0;1,0;0,5;0,17;0,41
309;;;Der herre wc ain ʒimb͛man;;1,0;1,0;1,0;1,0;1,0;1,0
310;;;Ob ich es reht geſagen kan;;1,0;1,0;1,0;1,0;1,0;1,0
311;;Dar vmbe bat er in da hin;Dar umbe bat er in da hin;dar vmbe bat er in da hin;1,0;1,0;1,0;0,04;0,04;0,08
312;;do bevalh ioſep den meiden drin;Do bewalh der alte den maͤgden drin;Nv bevalch Ioſeph den meiden drin;1,0;1,0;1,0;0,37;0,15;0,43
313;;Vnſer froͮwen in ir phlege;Vͥnſer vroͮwen in ir pflege;vnſer frowen in ir pflege;1,0;1,0;1,0;0,11;0,12;0,15
314;;vnt fur mit in vfter wege;Vnd fuͦr er mit ienem enwege;vnd fvͦr mit ienem after wege;1,0;1,0;1,0;0,46;0,24;0,34
315;;Nu er hin geſcheiden iſt;nu er uon in geſchaiden iſt;Alſ er von ir geſcheiden iſt;1,0;1,0;1,0;0,22;0,29;0,21
316;;nu ſtunt daz vnlange vriſt;Darnach ſtuͦnt es unlage vriſt;dar nach ſtvnt daz vn lange vriſt;1,0;1,0;1,0;0,4;0,27;0,3
317;;Vntz daz div maget reine;E das div maget vil raine;vnze daz div magt vil reine;1,0;1,0;1,0;0,4;0,3;0,26
318;;eines tages alterſeine;Aines tages alters aine;eines tages alter ſeine;1,0;1,0;1,0;0,17;0,04;0,17
319;;ze einem brunnen wazzer nam;Ʒe ainem brunnen waſſer nam;zeinem brvnnen wazzer nam;1,0;1,0;1,0;0,15;0,11;0,22
320;;do ſi die botſchaft vernam;Da ſi die botſchaft von erſt u͛nam;da ſi di botſchaft alrerſt vernam;1,0;1,0;1,0;0,29;0,3;0,26
321;;Von dem engel frone;Von dem engel vrone;von dem engel vrone;1,0;1,0;1,0;0,05;0,11;0,05
322;;der gruzte ſi ſchone;Er gruͦʒte ſi vil ſchone;der ſi do vil ſchone;1,0;1,0;1,0;0,33;0,4;0,46
323;;Er ſprach aue Maria;Er ſprach ʒuͦʒ ir aue Maria;grvzete Ave MARIA;1,0;1,0;1,0;0,3;0,74;0,81
324;;vnt andriv wort div wir da;Vnd aͤndriv wort div oͮch da;vnde andriv wort div wir da;1,0;1,0;1,0;0,25;0,07;0,25
325;;Anden buchen han geſchriben;An den buͦchen ſint geſriben;an den bvͦchen vinden geſchriben;1,0;1,0;1,0;0,25;0,28;0,25
326;;div rede iſt vns chvnt beliben;Diſuͥ rede iſt kunt div ſig beliben;div rede iſt chvnt nv ſi beliben;1,0;1,0;1,0;0,37;0,25;0,29
327;;vn̄ v͛nemt and͛ die ih iv ſage;Vn̄ merkent reht wc ich iv ſage;vnde horet rehte waz ich ſage;1,0;1,0;1,0;0,45;0,6;0,42
328;;dar nach an dem næhſten tage;Dar nach an dem naͤhſten tage;Dar nach an dem næheſten tage;1,0;1,0;1,0;0,1;0,07;0,1
329;;Do het ſih aber div guͦte;Do hate ſich div guͦte;do hete ſich div gvͦte;1,0;1,0;1,0;0,32;0,36;0,14
330;;durch geiſtliche huͦte;Durch werch vn̄ durch huͦte;dvrh geiſtliche hvͦte;1,0;1,0;1,0;0,52;0,14;0,63
331;;In einem gademe verſpart;In ainem gadenne aingoſt u͛ſpart;in einem gademe verſpart;1,0;1,0;1,0;0,41;0,04;0,44
332;;vnt wande wol han bewart;Si wande vil wol han bewart;vnde wande vil wol han bewart;1,0;1,0;1,0;0,26;0,21;0,14
333;;Daz iemen dar in moͤhte chomen;Das ieman dar in mohte komen;daz iemen dar in ſolde chomen;1,0;1,0;1,0;0,17;0,17;0,28
334;;vnt het ir ein werch genomen;Si hate ain werch fuͥr ſich genomē;vnde het ir ein werch genomen;1,0;1,0;1,0;0,51;0,07;0,54
335;;Von ſiͤden vn̄ von golde;Von ſidun vn̄ von golde;von ſiden vnde von golde;1,0;1,0;1,0;0,08;0,17;0,17
336;;als ſi beraiten wolde;Won ſi beraiten wolde;alſ ſi bereiten wolde;1,0;1,0;1,0;0,14;0,1;0,19
337;;Einen phelle zuͦ dem templo;Ainen pfeller ʒuͦ dem templo;einen pfelle zvͦ dem templo;1,0;1,0;1,0;0,14;0,11;0,14
338;;dar vmbe ſtvnt ih alſo;Vmb den ſtuͦnt es alſo;vmbe den ſtvnt iz alſo;1,0;1,0;1,0;0,5;0,41;0,27
339;;Daz er ir was geuallen;Dc er ir was gewallen;daz er ir was gevallen;1,0;1,0;1,0;0,14;0,09;0,18
340;;vor den meiden allen;Vor den maͤgden allen;vnder den meiden allen;1,0;1,0;1,0;0,19;0,14;0,32
341;;Mit lozze als ih die warheit las;Mit loſſe alſ ich es las;mit loze alſ ich di warheit las;1,0;1,0;1,0;0,44;0,16;0,39
342;;dannoch do ſi bi in was;Dannoch do ſi dort bi in was;dannoch do ſi dort bi in was;1,0;1,0;1,0;0,21;0,18;0,04
343;;Dar ob ſaz ſi vnt worchte;dar ob ſas ſi vnd worhte;Dar obe ſaz ſi vnd worhte;1,0;1,0;1,0;0,16;0,12;0,12
344;;vil gaheſ chom ir ein vorchte;Alda kom ir vorhte;vil gahes chom IR ein vorhte;1,0;1,0;1,0;0,48;0,14;0,5
345;;Want ſi gedaht an anderſ niht;Si gedahte anders nieht;wande ſi gedahte an anders niht;1,0;1,0;1,0;0,38;0,16;0,35
346;;ein engel ſchoͤne vn̄ lieht;An angel ſchoͤne vnd lieht;ein engel ſhoͤne vnde lieht;1,0;1,0;1,0;0,15;0,11;0,19
347;;Erſchein ir da ſi da ſaz;Erſchain ir da ſi ob ir werche ſaʒ;erſchein ir da ſi ob ir werche ſaz;1,0;1,0;1,0;0,41;0,38;0,09
348;;div froͤwe deſ werches v͛gaz;Vͥnſer vroͮwe ir werches uergaʒ;Div frowe ir werches do vergaz;1,0;1,0;1,0;0,48;0,33;0,42
349;;Vn̄ enphielen ir die hende īdie ſchoʒ;Die hende vielen ir in ir ſchoͮs;di hende vieln in ir ſchoz;1,0;1,0;1,0;0,55;0,58;0,25
350;;vil ſere ſi dar inne v͛droʒ;Von vorhten ſere ſi u͛dros;dvrh vorhte ſere ſi verdroz;1,0;1,0;1,0;0,67;0,7;0,33
351;;Wan ſi wante ez wer ein man;Si wande dc er waͤre ain man;div frowe wande ez wære ein man;1,0;1,0;1,0;0,5;0,35;0,45
352;;d͛ engel ir die ſorge benam;Der engel nam ir die vorhte dan;Do nam ir der Engel di ſorge dan;1,0;1,0;1,0;0,45;0,62;0,62
353;;Vnde troſte ſi iſa;Er getroſte ſi ie ſa;er begonde ſi troͤſten aber da;1,0;1,0;1,0;0,35;0,6;0,6
354;;er ſprach niht fvrhte dir maria;Er ſp̃ch niht enfuͥrhte dir maria;niht enfvͤrhte dir MARIA;1,0;1,0;1,0;0,21;0,58;0,48
355;;Ich ſol dir vreude chvnden;Froͮwe dich ʒe allen ſtunden;ich ſol dir frevde chvͤnden;1,0;1,0;1,0;0,68;0,15;0,71
356;;dv haſt genade fvnden;Du haſt an gotte funden;dvͦ haſt ze Gote fvnden;1,0;1,0;1,0;0,43;0,26;0,35
357;;Ze got d͛ ih dih wil weren;Genade der ich dich wil wern;genade deſ wil ich dih wern;1,0;1,0;1,0;0,36;0,52;0,29
358;;dv ſolt enphahen vn̄ gewerē;Du ſolt enpfahen vn̄ gebern;dv ſolt enpfahen vnde gebern;1,0;1,0;1,0;0,21;0,21;0,14
359;;Einen ſvn der heizzet emanuel;Ainen ſun der haiſet emanuel;einen ſvn der heizzet Emanvel;1,0;1,0;1,0;0,17;0,1;0,24
360;;ſus ſprach d͛ engel gabriel;Alſo ſprach der engel gabriel;Svs ſprach der engel Gabriel;1,0;1,0;1,0;0,21;0,18;0,17
361;;Div froͮwe antwurt im do;vnſ͛ vroͮwe aͤntwuͥrte im do;Vnſer frowe antwrte im do;1,0;1,0;1,0;0,29;0,32;0,29
362;;ſag an wie redeſt tvͦ ſo;Si ſprach wie ſprichet du ſo;ſage an wi redeſtv nvͦ ſo;1,0;1,0;1,0;0,61;0,16;0,68
363;;Engel himeliſcher bote;Engel himelſcher botte;engel himeliſſcher bote;1,0;1,0;1,0;0,09;0,09;0,17
364;;ih gihes hinze nimā wāzͤgote;Diʒ ʒuͥhe ich ʒe nieman wan ʒego;ich gihes zeniem̄ want ze gote;1,0;1,0;1,0;0,59;0,4;0,59
365;;Daz ih nie mannes teil gwan;Dc ich nie mannes tail gewan;daz ich nie manneſ teil gewan;1,0;1,0;1,0;0,18;0,14;0,17
366;;vn̄ ſoͤlcher dinge nie began;Noch der werche nie began;noch ſolher dinge nie began;1,0;1,0;1,0;0,5;0,21;0,37
367;;Da von ih chint ſolde tragen;Da von ich kint ſoͤle tragen;da von ich kint ſolde tragen E;1,0;1,0;1,0;0,18;0,2;0,17
368;;frowe daz wil ih dir ſagen;Er ſprach vroͮwe ich wil dir ſagē;r ſprach daz wil ich dir ſagen;1,0;1,0;1,0;0,56;0,27;0,35
369;;Du ſolt ez wol gelouben mir;Die warhait die geloͮbe du mir;dvͦ ſolt ez gelovben frowe mir;1,0;1,0;1,0;0,53;0,47;0,63
370;;d͛ heilige geiſt chvmt zuͦ dir;Der hailic gaiſt kumet ʒe dir;der heilge Geiſt chvmt zv dir;1,0;1,0;1,0;0,47;0,2;0,41
371;;Vn̄ beſchetwet dih deſ obriſtē chraft;Vnd beſchattet dich des obreſtē k̃t;vnd beſhetwet dich oberſten chraft;1,0;1,0;1,0;0,29;0,29;0,44
372;;alſo wirſtu berhaft;Da uon virtſtu berhaft;ſvs wirſtvͦ frowe berhaft;1,0;1,0;1,0;0,27;0,48;0,6
373;;Der dih zemuͦter hat erchorn;D͛ von dir w͛den wil geborn;Der dich ze mvͦter hat erchorn;1,0;1,0;1,0;0,71;0,1;0,7
374;;vn̄ von dir wil w͛den geborn;Vn̄ dich ʒe muͦt͛ hat erkorn;vnde von dir werden wil geborn;1,0;1,0;1,0;0,71;0,37;0,73
375;;Der iſt menſch vn̄ got;D͛ wirt menſche vn̄ gewaͤre got;der iſt menneſch vnd warer Got;1,0;1,0;1,0;0,42;0,37;0,45
376;;ſi ſprach nu w͛de ſiͤn gebot;Si ſp̃ͣch ſin hailig wille vn̄ ſī gebͭ;Si ſprach nvͦ werde ervollet ſin gebot;1,0;1,0;1,0;0,59;0,39;0,56
377;;An mir als du haſt geſeit;Ergāgean mir alſ du haſt geſaͥt;an mir alſo dvͦ haſt geſeit;1,0;1,0;1,0;0,34;0,19;0,38
378;;ih bin ſiͤn vro vn̄ vil bereit;Ich bin div im iſt berait;ich bin ſin div vnde hie bereit;1,0;1,0;1,0;0,5;0,29;0,42
379;;Mih dunchet des niht zevil;Mich dunket nihtes ʒe vil;wande mich dvnchet niht zevil;1,0;1,0;1,0;0,42;0,45;0,48
380;;des er mit mir beginen wil;Swes er mit mir beginnen vil;deſ er mit mir beginnen wil;1,0;1,0;1,0;0,14;0,07;0,14
381;;Div rede da mit ende nam;hie mͭ diͮ red an ende nam;Div rede da mit ende nam;1,0;1,0;1,0;0,5;0,0;0,5
382;;vnt ſchiet der engel alſo dan;Do der engel enweg kam;do der engel dannen quam;1,0;1,0;1,0;0,59;0,62;0,29
383;;Daz aber div maget eine ſaz;Vͥnſe vroͮwe ob ir w͛che ſas;div magt aber aleine ſaz;1,0;1,0;1,0;0,75;0,59;0,71
384;;d͛ worte ſi einez niht ver gaz;D͛ worte ſi aines niht u͛gas;der worte ſi eineſ niht vergaz;1,0;1,0;1,0;0,27;0,13;0,3
385;;;Wan ſi vil guͦt͛ ſinne wielt;wande ſi vil gvͦter ſinne wielt;1,0;1,0;1,0;1,0;1,0;0,19
386;;;In ir h͛ʒen ſi behielt;in ir herzen ſi wol behielt;1,0;1,0;1,0;1,0;1,0;0,3
387;;;Div wort dē gruͦʒ dar ʒuͦ dē ſegē;di rede den grvͦz den ſegen;1,0;1,0;1,0;1,0;1,0;0,53
388;;die meide die ir ſolten phlegen;Die maͤgede die ir ſoltōt pflegē;Die meide die ir ſolden pflegen;1,0;1,0;1,0;0,29;0,1;0,26
389;;Die weſſen niht vmbe ditze dinch;Die wiſſetont nuͥt vmb diſiͮ dink;dine wmbe diſiv dinch;1,0;1,0;1,0;0,36;0,53;0,64
390;;vntz der gotes hælinch;Vnʒ dc der gottes hailink;vnze daz der goteſ hælinch;1,0;1,0;1,0;0,4;0,23;0,42
391;;Selben wart offenbære;Schiere wart offenbaͤr;da ſelbe wart offenbære;1,0;1,0;1,0;0,36;0,22;0,39
392;;ane ſiehtumes ſwære;Siechtum ane ſwaͤre;ane ſiechtvmes ſwære;1,0;1,0;1,0;0,63;0,1;0,6
393;;Truch ſi in vntz andie zeit;Truͦc div maget vnʒ vf die ʒit;trvͦch ſi hin vnz an di zit;1,0;1,0;1,0;0,53;0,3;0,5
394;;daz von rehte geleit;Das von rehte gelit;daz von rehte gelit;1,0;1,0;1,0;0,15;0,05;0,11
395;;Ein iglich wiͤp div ſwang͛ iſt;Aan ieglich wip diͮ ſwang͛ iſt;ein ieſlich wip div ſwanger iſt;1,0;1,0;1,0;0,17;0,19;0,19
396;;phlegen al die vriſt;Oͮch pflagen ir alle die vriſt;Ir pflagen ovch di ſelben vriſt;1,0;1,0;1,0;0,4;0,48;0,52
397;;Die engel mit grozz͛ huͦte;Die engel mit ſtaͤt͛ huͦte;di engele mit grozzer hvͦte;1,0;1,0;1,0;0,19;0,22;0,41
